neuroNamesID,cNIDType,cNID,cTypeId,cType,brainStructureType,standardName,standardAcronym,brainInfoURL,cDefinition,synonyms,parents
1393,a,472,6,ancillary concepts,Not Defined,vagus nerve nuclei,NA,http://braininfo.org/centraldirectory.aspx?ID=1393,"refers to the dorsal motor nucleus of the vagus nerve, the commissural nucleus of the vagus nerve, the solitary nucleus and the nucleus ambiguus  ( Carpenter-1983 ).",,
1394,a,473,6,ancillary concepts,Not Defined,specific sensory thalamic relay nuclei,NA,http://braininfo.org/centraldirectory.aspx?ID=1394,"refers to a group of structures in the thalamus defined by connectivity. These include the medial geniculate body, the lateral geniculate body, and two substructures of the ventral posterior nucleus: the ventral posteromedial nucleus (VPM) and the ventral posterolateral nucleus (VPL)  ( Carpenter-1983 ).",,
1395,a,474,6,ancillary concepts,Not Defined,cortical thalamic relay nuclei,NA,http://braininfo.org/centraldirectory.aspx?ID=1395,"refers to a group of structures in the thalamus defined by connectivity. It includes the anterior nuclear group, the ventral lateral nucleus and the parvicellular part of the ventral anterior nucleus  ( Carpenter-1983 ).",,
1396,a,475,6,ancillary concepts,Not Defined,thalamic association nuclei,NA,http://braininfo.org/centraldirectory.aspx?ID=1396,"refers to a subset of nuclei in the thalamus defined on the basis of their connections. They include the medial dorsal nucleus, the lateral dorsal nucleus, the lateral posterior nucleus and the pulvinar  ( Carpenter-1983 ).",,
1397,a,476,6,ancillary concepts,Not Defined,centromedian-parafascicular nuclear complex,NA,http://braininfo.org/centraldirectory.aspx?ID=1397,refers to a subset of nuclei in the thalamus that includes the centromedian nucleus and the parafascicular nucleus of the intralaminar nuclear group  ( Carpenter-1983 ).,,
1398,a,477,6,ancillary concepts,Not Defined,perihypoglossal nuclei,NA,http://braininfo.org/centraldirectory.aspx?ID=1398,"refers to three cell groups in the floor of the fourth ventricle, the medial dorsal portion of the.  medulla. Identified by Nissl stain they are: the nucleus intercalatus, nucleus prepositus, and sublingual nucleus. The three nuclei are found in the human ( Carpenter-1983), macaque ( Paxinos-2009a ), rat ( Swanson-2004 ), and mouse ( Dong-2004 ). Functionally they constitute one of the vestibulomotor regions of the behavior control column ( Swanson-2004 ).",,
1399,a,479,6,ancillary concepts,Not Defined,paramedian pontine reticular formation,NA,http://braininfo.org/centraldirectory.aspx?ID=1399,refers to a functionally defined area in the pontine reticular formation that is involved in the coordination of conjugate horizontal eye movements  ( Carpenter-1983 ).,,
1400,a,481,6,ancillary concepts,Not Defined,accessory nerve nuclei,NA,http://braininfo.org/centraldirectory.aspx?ID=1400,"refers to a set of structures in the medulla and spinal cord. It includes caudal portions of the nucleus ambiguus of the medulla and the nucleus of the spinal part of the accessory nerve, which is located in the spinal cord  ( Carpenter-1983 ).",,
1401,a,482,6,ancillary concepts,Not Defined,supraoptic decussations,NA,http://braininfo.org/centraldirectory.aspx?ID=1401,"refers to three hypothalamic fiber tracts that cross the midline in the  hypothalamus dorsal to the optic chiasm. They include the anterior hypothalamic commissure, the dorsal supraoptic decussation and the ventral supraoptic decussation  ( Carpenter-1983 ).",,
1402,a,484,6,ancillary concepts,Not Defined,trigeminal ganglion,NA,http://braininfo.org/centraldirectory.aspx?ID=1402,"refers to a crescent-shaped (semilunar) ganglion located in the peripheral nervous system where the ophthalmic, maxillary and mandibular branches of the trigeminal nerve merge. It is not part of the brain  ( Carpenter-1983 ).",,
1403,a,485,6,ancillary concepts,Not Defined,sensory root of the trigeminal nerve,se5,http://braininfo.org/centraldirectory.aspx?ID=1403,"refers to the afferent fibers in the trigeminal nerve, which is an appendage of the pons. It is attached to, but not part of the brain  ( Carpenter-1983 ).",,
1404,a,486,6,ancillary concepts,Not Defined,vestibular ganglion,NA,http://braininfo.org/centraldirectory.aspx?ID=1404,refers to the ganglion at the base of the vestibule that contains the cell bodies of the primary afferents innervating the vestibular organs. These afferent fibers course centrally in the vestibulocochlear nerve to the vestibular nuclei in the medulla. The vestibular ganglion is not part of the brain  ( Carpenter-1983 ).,,
1405,a,487,6,ancillary concepts,Not Defined,spiral ganglion,NA,http://braininfo.org/centraldirectory.aspx?ID=1405,refers to the elongated ganglion that contains the cell bodies of the primary afferents innervating the cochlea. These afferent fibers course centrally in the vestibulocochlear nerve to the cochlear nuclei in the medulla. The spiral ganglion is not part of the brain  ( Carpenter-1983 ).,,
1406,a,488,6,ancillary concepts,Not Defined,cochlear nerve,c8n,http://braininfo.org/centraldirectory.aspx?ID=1406,refers to the branch of the vestibulocochlear nerve that innervates the cochlea. It is not part of the brain  ( Carpenter-1983 ).,,
1407,a,489,6,ancillary concepts,Not Defined,dentatoreticular fibers,NA,http://braininfo.org/centraldirectory.aspx?ID=1407,refers to a fiber pathway connecting the dentate nucleus of the cerebellum with the reticular formation of the brainstem. It is not readily distinguished in myelin-stained cross-sections  ( Carpenter-1983 ).,,
1408,a,490,6,ancillary concepts,Not Defined,dentatorubral fibers,NA,http://braininfo.org/centraldirectory.aspx?ID=1408,refers to a fiber pathway connecting the dentate nucleus of the cerebellum with the red nucleus.  It is not readily distinguished in myelin-stained cross-sections  ( Carpenter-1983 ).,,
1409,a,492,6,ancillary concepts,Not Defined,nigrotectal fibers,NA,http://braininfo.org/centraldirectory.aspx?ID=1409,refers to a fiber pathway connecting the substantia nigra with the tectum. It is not readily distinguished in myelin-stained cross-sections  ( Carpenter-1983 ).,,
1410,a,493,6,ancillary concepts,Not Defined,nigrotegmental fibers,NA,http://braininfo.org/centraldirectory.aspx?ID=1410,refers to a fiber pathway connecting the substantia nigra with the midbrain tegmentum. It is not readily distinguished in myelin-stained cross-sections  ( Carpenter-1983 ).,,
1411,a,494,6,ancillary concepts,Not Defined,nigrothalamic fibers,NA,http://braininfo.org/centraldirectory.aspx?ID=1411,refers to a fiber pathway connecting the substantia nigra with the thalamus. It is not readily distinguished in myelin-stained cross-sections  ( Carpenter-1983 ).,,
1412,a,495,6,ancillary concepts,Not Defined,pallidonigral fibers,NA,http://braininfo.org/centraldirectory.aspx?ID=1412,refers to a fiber pathway connecting the globus pallidus with the substantia nigra. It is not readily distinguished in myelin-stained cross-sections  ( Carpenter-1983 ).,,
1413,a,496,6,ancillary concepts,Not Defined,pallidosubthalamic fibers,NA,http://braininfo.org/centraldirectory.aspx?ID=1413,refers to a fiber pathway connecting the globus pallidus with the subthalamic nucleus. It is not readily distinguished in myelin-stained cross-sections  ( Carpenter-1983 ).,,
1414,a,497,6,ancillary concepts,Not Defined,pallidotegmental fibers,NA,http://braininfo.org/centraldirectory.aspx?ID=1414,refers to a fiber pathway connecting the globus pallidus with the midbrain tegmentum. It is not readily distinguished in myelin-stained cross-sections  ( Carpenter-1983 ).,,
1415,a,498,6,ancillary concepts,Not Defined,pallidothalamic fibers,NA,http://braininfo.org/centraldirectory.aspx?ID=1415,refers to a fiber pathway connecting the globus pallidus with the thalamus. It is not readily distinguished in myelin-stained cross-sections  ( Carpenter-1983 ).,,
1416,a,499,6,ancillary concepts,Not Defined,reticulocerebellar fibers,NA,http://braininfo.org/centraldirectory.aspx?ID=1416,refers to a fiber pathway connecting the reticular formation of the brainstem with the cerebellum. It is not readily distinguished in myelin-stained cross-sections  ( Carpenter-1983 ).,,
1417,a,500,6,ancillary concepts,Not Defined,retinotectal fibers,NA,http://braininfo.org/centraldirectory.aspx?ID=1417,refers to a fiber pathway between the retina and the tectum. It is not readily distinguished in myelin-stained cross-sections  ( Carpenter-1983 ).,,
1418,a,501,6,ancillary concepts,Not Defined,rubrobulbar fibers,NA,http://braininfo.org/centraldirectory.aspx?ID=1418,refers to a fiber pathway connecting the red nucleus with the hindbrain. It is not readily distinguished in myelin-stained cross-sections  ( Carpenter-1983 ).,,
1419,a,502,6,ancillary concepts,Not Defined,rubro-olivary fibers,NA,http://braininfo.org/centraldirectory.aspx?ID=1419,refers to a fiber pathway connecting the red nucleus with the inferior olivary complex. It is not readily distinguished in myelin-stained cross-sections  ( Carpenter-1983 ).,,
1420,a,503,6,ancillary concepts,Not Defined,rubroreticular fibers,NA,http://braininfo.org/centraldirectory.aspx?ID=1420,refers to a fiber pathway connecting the red nucleus with the reticular formation of the brainstem. It is not readily distinguished in myelin-stained cross-sections  ( Carpenter-1983 ).,,
1421,a,504,6,ancillary concepts,Not Defined,strionigral fibers,NA,http://braininfo.org/centraldirectory.aspx?ID=1421,refers to a fiber pathway connecting the striatum with the substantia nigra. It is not readily distinguished in myelin-stained cross-sections  ( Carpenter-1983 ).,,
1422,a,505,6,ancillary concepts,Not Defined,striopallidal fibers,NA,http://braininfo.org/centraldirectory.aspx?ID=1422,refers to a fiber pathway from the striatum to the globus pallidus. It is not readily distinguished in myelin-stained cross-sections  ( Carpenter-1983 ).,,
1423,a,506,6,ancillary concepts,Not Defined,tectoreticular fibers,NA,http://braininfo.org/centraldirectory.aspx?ID=1423,refers to a fiber pathway connecting the tectum with the reticular formation of the brainstem. It is not readily distinguished in myelin-stained cross-sections  ( Carpenter-1983 ).,,
1424,a,507,6,ancillary concepts,Not Defined,tectothalamic fibers,NA,http://braininfo.org/centraldirectory.aspx?ID=1424,refers to a fiber pathway connecting the tectum with the thalamus. It is not readily distinguished in myelin-stained cross-sections  ( Carpenter-1983 ).,,
1425,a,508,6,ancillary concepts,Not Defined,tectal tracts,NA,http://braininfo.org/centraldirectory.aspx?ID=1425,"refers to a collection of fiber pathways that originate in the tectum. They include the tectopontine tract, the tectobulbar tract, the tectospinal tract, the tectoreticular fibers and the tectothalamic fibers  ( Carpenter-1983 ).",,
1426,a,509,6,ancillary concepts,Not Defined,tegmentocerebellar fibers,NA,http://braininfo.org/centraldirectory.aspx?ID=1426,refers to a fiber pathway within the metencephalon connecting the pontine tegmentum with the cerebellum. It is not readily distinguished in myelin-stained cross-sections  ( Carpenter-1983 ).,,
1427,a,510,6,ancillary concepts,Not Defined,thalamostriate fibers,NA,http://braininfo.org/centraldirectory.aspx?ID=1427,refers to a fiber pathway connecting the thalamus with the striatum. It is not readily distinguished in myelin-stained cross-sections  ( Carpenter-1983 ).,,
1428,a,511,6,ancillary concepts,Not Defined,trigeminocerebellar fibers,NA,http://braininfo.org/centraldirectory.aspx?ID=1428,refers to a fiber pathway connecting the trigeminal nuclei with the cerebellum. It is not readily distinguished in myelin-stained cross-sections  ( Carpenter-1983 ).,,
1429,a,512,6,ancillary concepts,Not Defined,medullary-pontine junction,NA,http://braininfo.org/centraldirectory.aspx?ID=1429,refers to the boundary between the medulla and the pons  ( Carpenter-1983 ).,,
1430,a,513,6,ancillary concepts,Not Defined,spinomedullary junction,NA,http://braininfo.org/centraldirectory.aspx?ID=1430,refers to the boundary between the medulla and the spinal cord  ( Carpenter-1983 ).,,
1431,a,514,6,ancillary concepts,Not Defined,midbrain-diencephalic junction,NA,http://braininfo.org/centraldirectory.aspx?ID=1431,refers to the boundary between the midbrain and the interbrain  ( Carpenter-1983 ).,,
1432,a,515,6,ancillary concepts,Not Defined,layers of the superior colliculus - obsolete,NA,http://braininfo.org/centraldirectory.aspx?ID=1432,,,
1433,a,522,6,ancillary concepts,Not Defined,lemniscal system,NA,http://braininfo.org/centraldirectory.aspx?ID=1433,"refers to the long ascending sensory pathways located lateral to the reticular formation of the brainstem. They include the medial lemniscus of the midbrain, the medial lemniscus of the pons, the medial lemniscus of the medulla, the lateral lemniscus, the spinothalamic tract, the dorsal trigeminal tract, the ventral trigeminal tract and the spinal trigeminal tract  ( Carpenter-1983 ).",,
1434,a,523,6,ancillary concepts,Not Defined,chorda tympani,NA,http://braininfo.org/centraldirectory.aspx?ID=1434,refers to a branch of the intermediate nerve that innervates the anterior two-thirds of the tongue. It is not part of the brain  ( Carpenter-1983 ).,,
1435,a,524,6,ancillary concepts,Not Defined,septo-hypothalamo-mesencephalic continuum,NA,http://braininfo.org/centraldirectory.aspx?ID=1435,"refers to neural circuitry linking autonomic or limbic centers in the septum of the endbrain, the preoptic area of the hypothalamus in the interbrain and the rostral portion of the midbrain  ( Carpenter-1983 ).",,
1436,a,525,6,ancillary concepts,Not Defined,Papez circuit,NA,http://braininfo.org/centraldirectory.aspx?ID=1436,"refers to neural circuitry linking limbic centers as defined by Papez.  Cells in the medial mammillary nucleus of the hypothalamus project via the mammillothalamic tract to the anterior nuclear group of the thalamus.  Cells there project to the cingulate gyrus, from which cells in turn project to the CA fields via the cingulum or entorhinal area.  Fibers arising from the CA fields course through the fornix to the hypothalamus, closing the circuit  ( Carpenter-1983 ).",,
1437,a,526,6,ancillary concepts,Not Defined,secondary trigeminal tracts,NA,http://braininfo.org/centraldirectory.aspx?ID=1437,"refers to fiber tracts arising from the principal sensory nucleus of the trigeminal nerve or the spinal trigeminal nucleus that project to higher levels. These tracts include the dorsal trigeminal tract, the ventral trigeminal tract and the spinal trigeminal tract  ( Carpenter-1983 ).",,
1438,a,527,6,ancillary concepts,Not Defined,primary sensory areas,NA,http://braininfo.org/centraldirectory.aspx?ID=1438,"refers to those areas of the cerebral cortex that receive input from subcortical nuclei  related to specific sensory modalities. They include the primary somatosensory cortex, the primary visual area, the primary auditory cortex, the olfactory cortex and the gustatory cortex  ( Carpenter-1983 ).",,
1439,a,528,6,ancillary concepts,Not Defined,internal sagittal stratum,NA,http://braininfo.org/centraldirectory.aspx?ID=1439,refers to a fiber tract within the cerebral white matter of the endbrain that contains fibers projecting from the occipital lobe to the superior colliculus and the lateral geniculate body. It is not readily distinguished in myelin-stained cross-sections  ( Carpenter-1983 ).,,
1440,a,529,6,ancillary concepts,Not Defined,optic radiation,NA,http://braininfo.org/centraldirectory.aspx?ID=1440,"refers to a broad vertically oriented  fiber pathway that passes  from the lateral geniculate nucleus, through the retrolenticular part of the internal capsule and posterior limb of the internal capsule to the primary visual cortex:  primary visual cortex and monkey area 17 of Brodmann (guenon) ( Carpenter-1983 ).  It is a continuous structure, but two parts are distinguished: a more dorsal superior optic radiation and a more ventral inferior optic radiation ( Crosby-1962 ).",,
1441,a,531,6,ancillary concepts,Not Defined,subcallosal stratum (Mai),NA,http://braininfo.org/centraldirectory.aspx?ID=1441,refers to a predominantly cellular structure medial to the subcallosal fasciculus  ( Mai-1997 ).,,
1442,a,535,6,ancillary concepts,Not Defined,inferior occipitofrontal fasciculus,NA,http://braininfo.org/centraldirectory.aspx?ID=1442,refers to a fiber pathway in the cerebral white matter that connects the frontal lobe and the occipital lobe.  It is not readily distinguished in myelin-stained cross-sections  ( Carpenter-1983 ).,,
1443,a,538,6,ancillary concepts,Not Defined,inferior longitudinal fasciculus,NA,http://braininfo.org/centraldirectory.aspx?ID=1443,refers to a fiber pathway in the cerebral white matter.  It is not readily distinguished in myelin-stained cross-sections  ( Carpenter-1983 ).,,
1444,a,539,6,ancillary concepts,Not Defined,uncinate fasciculus of the forebrain,NA,http://braininfo.org/centraldirectory.aspx?ID=1444,refers to a pathway in the cerebral white matter that connects anterior portions of the temporal lobe with the inferior frontal gyrus and the middle frontal gyrus.  It is not readily distinguished in myelin-stained cross-sections  ( Carpenter-1983 ).,,
1445,a,541,6,ancillary concepts,Not Defined,cingulum,NA,http://braininfo.org/centraldirectory.aspx?ID=1445,"refers to a fiber pathway that runs longitudinally in the cingulate white matter; it connects portions of the cingulate gyrus, the parietal lobe and the prefrontal cortex with the parahippocampal gyrus and adjacent structures of the temporal lobe. ""All connectios entering and exiting the cingulate gyrus pass through the cingulum bundle."" ( Vogt-2012 ).  In the human it is composed of the Cingulum ammonale and the Cingulum limitans and is not readily distinguished in myelin-stained cross-sections  ( Carpenter-1983 ). In the rat  ( Swanson-1998 ) and mouse  ( Paxinos-2001 ) it is more distinguishable.",,
1446,a,542,6,ancillary concepts,Not Defined,corona radiata,NA,http://braininfo.org/centraldirectory.aspx?ID=1446,"refers to the appearance on gross dissection of fiber bundles in the cerebral white matter that radiate from the narrow internal capsule to the broad cerebral cortex. These fiber bundles include the auditory radiation, the optic radiation, the anterior thalamic radiations, the superior thalamic radiations, the inferior thalamic radiations the posterior thalamic radiations and others  ( Carpenter-1983 ).",,
1447,a,543,6,ancillary concepts,Not Defined,recesses of third ventricle,NA,http://braininfo.org/centraldirectory.aspx?ID=1447,"refers to substructures of the third ventricle. They include the infundibular recess, the suprapineal recess, the pineal recess and the optic recess in primates  ( Carpenter-1983 ) and the mammillary recess in rodents  ( Paxinos-2001; Swanson-1998 ).",,
1448,a,544,6,ancillary concepts,Not Defined,facial nerve nuclei,NA,http://braininfo.org/centraldirectory.aspx?ID=1448,refers to a group of nuclei in the pontine tegmentum that contribute fibers to the facial nerve.  They include the facial nucleus and the superior salivatory nucleus  ( Carpenter-1983 ).,,
1449,a,545,6,ancillary concepts,Not Defined,commissures of the cerebellum,NA,http://braininfo.org/centraldirectory.aspx?ID=1449,refers to two fiber bundles in the cerebellar white matter that cross the midline of the cerebellum: the anterior cerebellar commissure and the posterior cerebellar commissure.  They are not readily distinguished in myelin-stained histological cross-sections  ( Carpenter-1983 ).,,
1450,a,546,6,ancillary concepts,Not Defined,metathalamus (Crosby),NA,http://braininfo.org/centraldirectory.aspx?ID=1450,"refers to a composite structure consisting of the metathalamus and parts of the pretectal region, namely the nucleus of the optic tract and the nucleus of the pretectal area  ( Crosby-1962 ).",,
1451,a,547,6,ancillary concepts,Not Defined,lateral nuclear group (Crosby),NA,http://braininfo.org/centraldirectory.aspx?ID=1451,refers to a composite substructure of the thalamus that includes the lateral nuclear group and the suprageniculate nucleus of the posterior nuclear complex  ( Crosby-1962 ).,,
1452,a,548,6,ancillary concepts,Not Defined,intralaminar nuclei (Crosby),NA,http://braininfo.org/centraldirectory.aspx?ID=1452,refers to a composite substructure of the thalamus that differs from the intralaminar nuclear group in that it excludes the parafascicular nucleus and includes the limitans nucleus of the posterior nuclear complex  ( Crosby-1962 ).,,
1453,a,549,6,ancillary concepts,Not Defined,medial nuclear group (Crosby),NA,http://braininfo.org/centraldirectory.aspx?ID=1453,"refers to a composite substructure of the thalamus that includes the medial dorsal nucleus, the parafascicular nucleus and the nuclei of habenulopeduncular tract  ( Crosby-1962 ).",,
1454,a,550,6,ancillary concepts,Not Defined,dorsal thalamus (Crosby),NA,http://braininfo.org/centraldirectory.aspx?ID=1454,"refers to a composite substructure of the interbrain that is similar to the thalamus except for minor differences in several of the subdivisions. See medial nuclear group (Crosby), intralaminar nuclei (Crosby), lateral nuclear group (Crosby) and metathalamus (Crosby)  ( Crosby-1962 ).",,
1455,a,551,6,ancillary concepts,Not Defined,dorsal thalamus,NA,http://braininfo.org/centraldirectory.aspx?ID=1455,"refers to a composite substructure of the thalamus that is defined on the basis of embryonic origin, function and connectivity in the rat.  A component of the Functional CNS Model - Rat, it is the same as the thalamus except that it does not include the reticular nucleus of the thalamus  ( Swanson-2004 ).",,
1456,a,552,6,ancillary concepts,Not Defined,nuclei of the habenulopeduncular tract,NA,http://braininfo.org/centraldirectory.aspx?ID=1456,refers to groups of nerve cells found in some mammals along the path of the fasciculus retroflexus as it passes the medial dorsal nucleus of the thalamus  ( Crosby-1962 ).,,
1457,a,553,6,ancillary concepts,Not Defined,Nuclei colliculi superioris,NA,http://braininfo.org/centraldirectory.aspx?ID=1457,refers to groups of large cells in the middle gray layer of the superior colliculus and more laterally near the midbrain tegmentum  ( Riley-1943 ).,,
1458,a,554,6,ancillary concepts,Not Defined,Nucleus colliculi inferioris,NA,http://braininfo.org/centraldirectory.aspx?ID=1458,"is used by some authors as a composite term to refer to the cell groups of the inferior colliculus, namely the central nucleus of the inferior colliculus, the pericentral nucleus of the inferior colliculus and the external nucleus of the inferior colliculus  ( Riley-1943 ).",,
1459,a,556,6,ancillary concepts,Not Defined,posterior column nuclei,NA,http://braininfo.org/centraldirectory.aspx?ID=1459,refers to the cuneate nucleus of the medulla and the gracile nucleus located in the spinomedullary junction at the rostral end of each posterior white column  ( Carpenter-1983 ).,,
1460,a,557,6,ancillary concepts,Not Defined,Telencephalon medium,NA,http://braininfo.org/centraldirectory.aspx?ID=1460,"refers to a composite substructure of the forebrain that includes  parts of the endbrain and of the interbrain. It lies rostral to an imaginary plane from the base of the interventricular foramen to the upper border of the optic chiasm. It includes the preoptic area, the anterior commissure, the lamina terminalis and rostral portions of the third ventricle and fornix  ( Crosby-1962 ).",,
1461,a,558,6,ancillary concepts,Not Defined,brain sand,NA,http://braininfo.org/centraldirectory.aspx?ID=1461,refers to calcareous deposits often found in the pineal gland  ( Crosby-1962 ) and other brain structures such as the choroid plexus ( Wikipedia ).,,
1462,a,559,6,ancillary concepts,Not Defined,dura mater,NA,http://braininfo.org/centraldirectory.aspx?ID=1462,"refers to the leathery outer-most of three membranes, or meninges, that encapsulate the brain and the spinal cord. It is not part of the brain  ( Carpenter-1983 ).",,
1463,a,560,6,ancillary concepts,Not Defined,pia,NA,http://braininfo.org/centraldirectory.aspx?ID=1463,"refers to one of the supporting structures of the central nervous system. It is the delicate inner-most of three membranes, or meninges, that encapsulate the brain and the spinal cord  ( Carpenter-1983 ).",,
1464,a,561,6,ancillary concepts,Not Defined,arachnoid,NA,http://braininfo.org/centraldirectory.aspx?ID=1464,"refers to one of the supporting structures of the central nervous system. It is the web-like intermediate of three membranes, or meninges, that encapsulate the brain and the spinal cord ( Carpenter-1983 ).",,
1465,a,562,6,ancillary concepts,Not Defined,meninges,NA,http://braininfo.org/centraldirectory.aspx?ID=1465,"refers to the three membranous layers that encapsulate the brain and the spinal cord. Listed in order from the brain out, these layers are the pia, the arachnoid and the dura mater. They are not part of the brain  ( Carpenter-1983 ).",,
1466,a,563,6,ancillary concepts,Not Defined,inferior optic radiation,NA,http://braininfo.org/centraldirectory.aspx?ID=1466,"refers to the more ventral of two portions of the optic radiation; the other is the superior optic radiation. The inferior portion loops rostrally  from the lateral geniculate nucleus toward the temporal pole, then caudally in the wall of the lateral ventricle  to the inferior bank of the calcarine sulcus, primary visual cortex, or the monkey area 17 of Brodmann (guenon). The inferior radiation conveys information from the inferior part of the retina, which 'sees' the upper part of the visual field  ( Crosby-1962; Carpenter-1983 )..",,
1467,a,565,6,ancillary concepts,Not Defined,sublenticular gray,NA,http://braininfo.org/centraldirectory.aspx?ID=1467,refers to a portion of the endbrain ventral to the lentiform nucleus that consists of the Nucleus subputaminalis and the substantia innominata  ( Crosby-1962 ).,,
1468,a,568,6,ancillary concepts,Not Defined,circle of Willis,NA,http://braininfo.org/centraldirectory.aspx?ID=1468,"refers to an anastomosing system of arteries that join to form a circle surrounding the hypophysis and optic chiasm at the base of the brain. It consists of the internal carotid arteries, the anterior communicating arteries, the posterior communicating arteries and the posterior cerebral arteries. It is not part of the brain  ( Crosby-1962 ).",,
1469,a,569,6,ancillary concepts,Not Defined,decussation of the superior medullary velum,xsmv,http://braininfo.org/centraldirectory.aspx?ID=1469,refers to a substructure of the superior medullary velum  ( Crosby-1962 ).,,
1470,a,570,6,ancillary concepts,Not Defined,basal optic root,NA,http://braininfo.org/centraldirectory.aspx?ID=1470,"refers to a fiber bundle connecting the optic chiasm to the nucleus of the transverse peduncular tract, a substructure of the ventral tegmental area in nonprimates. The existence of the latter in humans is disputed  ( Crosby-1962 ).",,
1471,a,571,6,ancillary concepts,Not Defined,nucleus of the transverse peduncular tract,NA,http://braininfo.org/centraldirectory.aspx?ID=1471,"refers to a substructure of the ventral tegmental area in nonprimates, the existence of which in humans is disputed  ( Crosby-1962 ).",,
1472,a,573,6,ancillary concepts,Not Defined,parasplenial lobules,NA,http://braininfo.org/centraldirectory.aspx?ID=1472,"refers to cortical folds on the medial surface of the parietal lobe of the human. Identified by dissection, they are located adjacent to the splenial sulcus and the parieto-occipital sulcus in the transition zone between the posterior cingulate gyrus and the cuneus. They are not found in the macaque ( Vogt-1995 ) or in the smooth cerebral cortex of the rat or mouse ( NeuroNames ).",,
1473,a,574,6,ancillary concepts,Not Defined,total fissure,NA,http://braininfo.org/centraldirectory.aspx?ID=1473,"refers to a cerebral fissure or sulcus that is sufficiently deep to form an eminence on the underlying ventricular wall. Total fissures include the choroidal fissure, the collateral sulcus, the calcarine sulcus and the hippocampal fissure  ( Crosby-1962 ).",,
1474,a,575,6,ancillary concepts,Not Defined,olfactory ventricle,NA,http://braininfo.org/centraldirectory.aspx?ID=1474,"refers to a cavity in the embryonic olfactory bulb that communicates with the lateral ventricle. It is usually absent in the adult human  ( Crosby-1962 ), but present in the adult mouse  ( Paxinos-2001 ) and  rat  ( Swanson-1998 ).",,
1475,a,576,6,ancillary concepts,Not Defined,deep tegmental gray,NA,http://braininfo.org/centraldirectory.aspx?ID=1475,"refers to a composite substructure of midbrain tegmentum that includes the magnocellular part of the red nucleus, the dorsal nucleus of the lateral lemniscus, the peripeduncular nucleus and certain nuclei of the midbrain reticular formation including the cuneiform nucleus, the subcuneiform nucleus, the pedunculopontine tegmental nucleus and the linear nucleus of the raphe.  It also includes the nucleus intracuneiformis and the parabrachial pigmented nucleus  ( Crosby-1962 ).",,
1476,a,577,6,ancillary concepts,Not Defined,nucleus intracuneiformis,NA,http://braininfo.org/centraldirectory.aspx?ID=1476,refers to a structure in the midbrain tegmentum  ( Crosby-1962 ).,,
1477,a,587,6,ancillary concepts,Not Defined,posterior part of the inferior parietal lobule,NA,http://braininfo.org/centraldirectory.aspx?ID=1477,refers to caudal portion of the angular gyrus and the adjacent portion of the occipital lobe  ( Lockhart-1970 ).,,
1478,a,591,6,ancillary concepts,Not Defined,sensory radiation,NA,http://braininfo.org/centraldirectory.aspx?ID=1478,refers to a component of the superior thalamic radiations that contains fibers connecting the ventral lateral nucleus and the ventral posterior nucleus of the thalamus with the primary somesthetic area. It is not readily distinguished in myelin-stained cross-sections  ( Crosby-1962 ).,,
1479,a,592,6,ancillary concepts,Not Defined,ventral tegmental gray,NA,http://braininfo.org/centraldirectory.aspx?ID=1479,"refers to a composite structure of the midbrain tegmentum that includes the ventral tegmental area, the interpeduncular nucleus and the peripeduncular nucleus  ( Crosby-1962 ).",,
1480,a,593,6,ancillary concepts,Not Defined,rhinencephalon (Crosby),NA,http://braininfo.org/centraldirectory.aspx?ID=1480,"refers to a composite substructure of the endbrain. Identified functionally with olfaction, it is defined on the basis of comparative anatomy to include the olfactory bulb, the olfactory tract, the anterior olfactory nucleus, the olfactory tubercle, the subcallosal gyrus, the diagonal band, the nucleus of the diagonal band, the piriform area, the parahippocampal gyrus, the hippocampal formation and the cingulate gyrus  ( Crosby-1962 ).  For a thorough  review of the history and multiple uses of the term ""rhinencephalon"" see Anthoney-1994.",,
1481,a,594,6,ancillary concepts,Not Defined,Cornu ammonis (Crosby),NA,http://braininfo.org/centraldirectory.aspx?ID=1481,refers to a composite substructure of the hippocampal formation that includes the CA fields and the alveus  ( Crosby-1962 ).,,
1482,a,595,6,ancillary concepts,Not Defined,tegmental gray of the pons,NA,http://braininfo.org/centraldirectory.aspx?ID=1482,"refers to a composite substructure of the pontine tegmentum that includes the motor nucleus of the tegmentum, the  median raphe nucleus, the inferior central nucleus, the nucleus papilliformis, the subceruleus nucleus, the locus ceruleus, the lateroventral tegmental nucleus, the dorsal tegmental nucleus and the ventral tegmental nucleus  ( Crosby-1962 ). See also pontine tegmentum.",,
1483,a,596,6,ancillary concepts,Not Defined,paleocerebellum (Crosby),NA,http://braininfo.org/centraldirectory.aspx?ID=1483,refers to a composite substructure of the cerebellar cortex that is based on some authors' concept of the phylogenesis of the cerebellum.  It includes the vermis of the cerebellum and the flocculus  ( Crosby-1962 ).,,
1484,a,597,6,ancillary concepts,Not Defined,neocerebellum (Crosby),NA,http://braininfo.org/centraldirectory.aspx?ID=1484,refers to a composite substructure of the cerebellar cortex that is based on some authors' concept of the phylogenesis of the cerebellum.  It includes the anterior lobe of the cerebellum and the posterior lobe of the cerebellum  ( Crosby-1962 ).,,
